Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
25.11.2021;9,522;9,526;9,432;9,586;9,316;9,54;9,506;834387;7932227,43;3929
24.11.2021;9,424;9,434;9,45;9,598;9,364;9,432;9,458;1232870;11661063,58;4034
23.11.2021;9,434;9,438;9,50;9,538;9,376;9,444;9,46;1152757;10905157,15;4189
22.11.2021;9,57;9,584;9,50;9,672;9,454;9,574;9,589;1477440;14166849,82;5036
19.11.2021;9,494;9,502;9,64;9,646;9,408;9,502;9,508;1522474;14474729,03;4815
18.11.2021;9,604;9,614;9,662;9,71;9,516;9,602;9,606;1316213;12641922,19;4664
17.11.2021;9,638;9,64;9,60;9,666;9,476;9,648;9,599;1496354;14363379,68;5311
16.11.2021;9,602;9,612;9,416;9,626;9,41;9,598;9,556;1523697;14551160,71;3302
15.11.2021;9,404;9,41;9,30;9,47;9,28;9,39;9,403;1392088;13090165,75;5462
12.11.2021;9,314;9,326;9,20;9,35;9,164;9,316;9,294;1116195;10373981,46;3698
11.11.2021;9,19;9,20;9,144;9,352;9,12;9,20;9,208;1413730;13018416,52;7008
10.11.2021;9,20;9,206;9,336;9,34;9,168;9,168;9,212;1750129;16132012,11;4539
9.11.2021;9,326;9,334;9,52;9,544;9,30;9,30;9,367;1848370;17314895,88;5274
8.11.2021;9,538;9,552;9,574;9,60;9,472;9,548;9,537;1267040;12083169,66;4519
5.11.2021;9,546;9,556;9,628;9,72;9,524;9,552;9,594;2063217;19795398,43;5653
4.11.2021;9,60;9,604;9,31;9,63;9,228;9,63;9,524;3254776;30981719,08;5646
3.11.2021;9,274;9,284;9,186;9,376;9,116;9,28;9,271;2154834;19976954,76;7997
2.11.2021;9,072;9,09;8,66;9,338;8,482;9,15;9,062;6032163;54635005,52;11644
1.11.2021;8,71;8,734;8,706;8,764;8,652;8,714;8,71;1693442;14749825,06;4708
29.10.2021;8,65;8,662;8,644;8,68;8,486;8,68;8,62;1505771;12977323,4;3414
28.10.2021;8,62;8,632;8,558;8,662;8,516;8,662;8,604;934735;8041556,74;3309
27.10.2021;8,60;8,606;8,542;8,706;8,542;8,58;8,626;1124029;9695973,54;3685
26.10.2021;8,57;8,578;8,44;8,612;8,38;8,602;8,555;1136402;9721969,01;2698
25.10.2021;8,43;8,44;8,50;8,524;8,354;8,426;8,425;1140674;9610180,92;3952
22.10.2021;8,482;8,49;8,43;8,628;8,422;8,466;8,528;1402863;11965871,28;3199
21.10.2021;8,416;8,424;8,428;8,552;8,344;8,398;8,45;2186916;18497789,08;4834
20.10.2021;8,486;8,494;8,356;8,516;8,338;8,492;8,443;1415639;11952366,07;3605
19.10.2021;8,35;8,36;8,316;8,48;8,30;8,372;8,396;1576286;13238662,68;3924
18.10.2021;8,284;8,29;8,37;8,52;8,254;8,26;8,346;2124502;17734043,15;5356
15.10.2021;8,33;8,336;8,33;8,394;8,292;8,35;8,341;1408808;11750659,27;2774
14.10.2021;8,218;8,224;8,12;8,272;8,12;8,232;8,212;1130784;9287865,35;3227
13.10.2021;8,086;8,094;8,118;8,196;8,012;8,072;8,091;1287948;10422279,72;3698
12.10.2021;8,152;8,158;7,82;8,162;7,808;8,15;8,056;1806714;14552734,45;3998
11.10.2021;7,94;7,942;7,982;8,054;7,856;7,94;7,924;1183884;9380062,29;3943
8.10.2021;8,05;8,054;7,91;8,134;7,86;8,014;8,019;2375263;19045796,93;5679
7.10.2021;7,816;7,824;7,648;7,846;7,608;7,834;7,75;2074240;16074510,67;3951
6.10.2021;7,556;7,56;7,69;7,714;7,546;7,546;7,601;2176910;16547352,92;4899
5.10.2021;7,78;7,788;7,734;7,786;7,64;7,78;7,729;1623623;12547644,38;4737
4.10.2021;7,754;7,764;7,67;7,858;7,65;7,734;7,754;1539703;11940518,03;4377
1.10.2021;7,692;7,698;7,72;7,87;7,67;7,67;7,736;2250722;17413025,53;6885
30.9.2021;7,95;7,96;7,90;7,962;7,782;7,914;7,902;2143404;16935429,54;5094
29.9.2021;7,816;7,824;7,818;7,888;7,668;7,806;7,781;2123965;16525410,94;6023
28.9.2021;7,818;7,822;8,176;8,176;7,814;7,818;7,944;1896888;15070611,64;4628
27.9.2021;8,174;8,178;8,162;8,296;8,118;8,174;8,216;1494313;12274319,29;3972
24.9.2021;8,088;8,092;8,142;8,158;7,992;8,092;8,088;1639002;13257054,67;5346
23.9.2021;8,132;8,138;8,372;8,38;8,118;8,15;8,20;2659414;21809296,92;5355
22.9.2021;8,244;8,252;8,10;8,26;8,10;8,25;8,20;2151231;17636374,43;5485
21.9.2021;7,99;7,996;8,044;8,174;7,96;7,966;8,043;1878708;15112763,8;5175
20.9.2021;8,01;8,018;8,294;8,294;7,902;8,018;8,057;3453087;27819025,82;9215
17.9.2021;8,49;8,504;8,96;9,084;8,462;8,486;8,643;3535413;30584280,55;9369
16.9.2021;8,934;8,944;8,924;9,074;8,902;8,91;8,967;2047273;18359619,72;5201
15.9.2021;8,92;8,926;8,94;9,008;8,822;8,91;8,913;1416915;12629362,12;3738
14.9.2021;8,948;8,956;8,90;9,008;8,824;8,954;8,937;1670699;14928305,25;4267
13.9.2021;8,90;8,912;8,92;8,996;8,832;8,908;8,906;1250439;11137386,34;3664
10.9.2021;8,906;8,91;8,90;9,014;8,81;8,896;8,935;1327531;11861853,9;4453
9.9.2021;8,876;8,88;8,85;8,926;8,762;8,85;8,854;2153492;19066245,71;4346
8.9.2021;8,904;8,908;9,20;9,20;8,904;8,908;8,991;2071496;18624144,96;6014
7.9.2021;9,228;9,234;9,324;9,336;9,162;9,208;9,239;1447167;13371448,59;3859
6.9.2021;9,322;9,332;9,308;9,452;9,286;9,336;9,357;983978;9206812,39;3213
3.9.2021;9,256;9,262;9,32;9,36;9,198;9,272;9,268;1187034;11003783,17;3680
2.9.2021;9,28;9,286;9,10;9,304;9,076;9,304;9,227;2775459;25623092,78;4009
1.9.2021;9,114;9,116;9,102;9,248;9,084;9,104;9,139;1244915;11379401,08;4515
31.8.2021;9,058;9,068;9,12;9,184;9,024;9,044;9,086;1406808;12784341,39;3721
30.8.2021;9,094;9,10;9,10;9,158;9,034;9,102;9,091;764515;6950259,18;2084
27.8.2021;9,072;9,08;9,05;9,082;8,954;9,08;9,027;1387549;12523509,5;4216
26.8.2021;9,05;9,056;9,018;9,086;8,928;9,056;9,017;1515212;13659377,34;4855
25.8.2021;9,096;9,104;8,90;9,126;8,85;9,076;9,024;1490926;13452393,5;4143
24.8.2021;8,882;8,888;8,79;8,958;8,78;8,878;8,874;1901505;16877669,41;4748
23.8.2021;8,796;8,80;8,70;8,874;8,658;8,774;8,748;1610358;14088766,39;5244
20.8.2021;8,606;8,61;8,78;8,786;8,514;8,60;8,618;2064277;17787282,56;6884
19.8.2021;8,802;8,808;9,10;9,15;8,776;8,78;8,897;2439466;21738881,21;7620
18.8.2021;9,224;9,232;9,15;9,26;9,114;9,22;9,202;1256365;11560573,11;3198
17.8.2021;9,15;9,154;9,298;9,298;9,128;9,14;9,17;1809779;16597912,79;4923
16.8.2021;9,30;9,308;9,42;9,424;9,222;9,31;9,276;1208660;11210034,74;3980
13.8.2021;9,448;9,452;9,38;9,616;9,37;9,442;9,496;1377399;13077066,76;4860
12.8.2021;9,39;9,394;9,236;9,436;9,22;9,38;9,367;1898178;17778920,56;4091
11.8.2021;9,208;9,212;9,194;9,214;9,108;9,192;9,173;1081245;9915729,05;4338
10.8.2021;9,198;9,204;9,156;9,314;9,156;9,178;9,223;1603394;14790764,28;4892
9.8.2021;9,152;9,156;9,24;9,242;9,086;9,144;9,153;1302705;11923686,24;4820
6.8.2021;9,26;9,268;9,284;9,326;9,194;9,242;9,259;1261962;11686524,39;3855
5.8.2021;9,28;9,29;9,496;9,534;9,202;9,26;9,313;1801714;16780704,78;6099
4.8.2021;9,464;9,468;9,60;9,738;9,312;9,48;9,536;3384711;32328617,25;9192
3.8.2021;9,642;9,648;9,73;9,73;9,556;9,602;9,62;1489293;14328653,71;6606
2.8.2021;9,758;9,762;9,65;9,876;9,65;9,728;9,783;1083969;10605161;3896
30.7.2021;9,594;9,60;9,696;9,744;9,554;9,576;9,614;1165570;11206015,09;4160
29.7.2021;9,80;9,806;9,684;9,874;9,684;9,788;9,802;1486830;14573832,72;4515
28.7.2021;9,672;9,678;9,772;9,774;9,652;9,676;9,681;950482;9201971,01;2624
27.7.2021;9,772;9,78;9,80;9,80;9,614;9,772;9,741;1016029;9895561,96;3327
26.7.2021;9,766;9,772;9,704;9,812;9,644;9,812;9,775;803270;7851229,96;3020
23.7.2021;9,694;9,702;9,59;9,756;9,574;9,732;9,711;890326;8645608,33;2746
22.7.2021;9,584;9,594;9,65;9,84;9,578;9,584;9,684;1299546;12588412,41;4341
21.7.2021;9,586;9,594;9,266;9,66;9,256;9,588;9,534;2462730;23478497,26;7484
20.7.2021;9,216;9,224;9,20;9,264;8,966;9,204;9,149;2210688;20224589,77;6964
19.7.2021;9,156;9,164;9,38;9,386;9,07;9,136;9,193;1764999;16225627,66;6738
16.7.2021;9,442;9,446;9,818;9,838;9,42;9,448;9,544;1544742;14746657,63;5994
15.7.2021;9,754;9,756;9,892;9,926;9,744;9,77;9,81;869722;8532716,53;4316
14.7.2021;9,884;9,89;9,90;9,988;9,84;9,892;9,912;818036;8109344,82;3324
